Company,Ticker,Name,Title,Equity,Cash,Other,Total,F_Salary,M_Salary,F_Number,M_Number,F_Hourly,M_Hourly,H_Number,S_Number,S_Median,H_Median,Median,CEO_Ratio,S_Gender_Ratio,H_Gender_Ratio
3M CO,MMM,Inge G. Thulin,"Chairman of the Board, President and Chief Executive Officer",10997926.0,3778287.0,723685.0,15499898.0,71553.0,82249.0,63.0,205.0,21.09,21.94,88.0,268.0,79734.641791,43030.0,70661.5842697,219.353955338,0.869955865725,0.961257976299
AAR CORP,AIR,David P. Storch,"Chairman of the Board, President and Chief Executive Officer",1695200.0,3065162.0,474286.0,5234648.0,70876.0,76827.0,9.0,20.0,17.67,20.46,18.0,29.0,74980.137931,38130.0,60867.3191489,86.0009619808,0.922540252776,0.863636363636
AARON'S INC,AAN,John W. Robinson III,Chief Executive Officer,5443622.0,1454600.0,32435.0,6930657.0,62400.0,56908.0,4.0,14.0,10.52,11.07,28.0,18.0,58128.4444444,21590.0,35887.6521739,193.120936594,1.0965066423,0.950316169828
ABBOTT LABORATORIES,ABT,Miles D. White,"Chairman of the Board, Chief Executive Officer and Director",12497968.0,5200000.0,1091506.0,18789474.0,84969.0,91718.0,86.0,136.0,24.1,24.32,66.0,222.0,89103.5225225,48420.0,79780.2152778,235.515458746,0.926415752633,0.990953947368
ABERCROMBIE & FITCH  -CL A,ANF,Michael S. Jeffries,Chief Executive Officer,5291182.0,1303846.0,5861997.0,12457025.0,48878.0,70312.0,25.0,33.0,13.75,11.7,42.0,58.0,61073.2068966,25450.0,46111.46,270.150305369,0.695158721129,1.17521367521
ABM INDUSTRIES INC,ABM,Henrik C. Slipsager,Former President & Chief Executive Officer,0.0,484601.0,3804169.0,4288770.0,52697.0,59173.0,35.0,41.0,12.99,15.81,76.0,76.0,56190.6315789,28800.0,42495.3157895,100.923358736,0.890558193771,0.821631878558
ACCENTURE PLC,ACN,Pierre Nanterme,Chairman and Chief Executive Officer,11696292.0,4000711.0,79211.0,15776214.0,78941.0,82515.0,240.0,627.0,29.64,28.82,72.0,867.0,81525.6574394,58460.0,79757.0447284,197.803392211,0.956686663031,1.02845246357
ACI WORLDWIDE INC,ACIW,Philip G. Heasley,President and Chief Executive Officer,0.0,700000.0,4744.0,704744.0,79061.0,90556.0,16.0,37.0,,,,53.0,87085.8113208,,87085.8113208,8.09252379132,0.873061972702,
ACXIOM CORP,ACXM,Scott E. Howe,Chief Executive Officer & President,3630021.0,1488500.0,7650.0,5126171.0,66554.0,84319.0,12.0,43.0,,,,55.0,80443.0,,80443.0,63.724264386,0.789312017458,
ADOBE SYSTEMS INC,ADBE,Shantanu Narayen,President and Chief Executive Officer,15851410.0,2413854.0,91922.0,18357186.0,103041.0,109314.0,66.0,97.0,27.28,37.5,18.0,163.0,106774.01227,64780.0,102597.812155,178.923756896,0.942614852626,0.727466666667
ADTRAN INC,ADTN,Thomas R. Stanton,Chief Executive Officer,645316.0,595000.0,15491.0,1255807.0,67800.0,87414.0,3.0,21.0,,,,24.0,84962.25,,84962.25,14.7807643983,0.775619465989,
ADVANCE AUTO PARTS INC,AAP,Darren R. Jackson,Chief Executive Officer,3250191.0,930288.0,123232.0,4303711.0,53195.0,50251.0,23.0,108.0,9.87,10.91,258.0,131.0,50767.8854962,20780.0,30878.748072,139.374530016,1.05858589879,0.904674610449
ADVANCED MICRO DEVICES,AMD,Lisa T. Su,President and Chief Executive Officer,5383790.0,1149992.0,25412.0,6559194.0,82712.0,108849.0,13.0,44.0,15.0,26.5,6.0,57.0,102887.929825,41500.0,97041.4603175,67.5916662686,0.759878363605,0.566037735849
ADVISORY BOARD CO,ABCO,Robert W. Musslewhite,Chief Executive Officer,2904798.0,1415167.0,12551.0,4332516.0,,71783.9016393,75.0,61.0,,,,61.0,71783.9016393,,71783.9016393,60.3549807277,,
AECOM INC,ACM,Michael S. Burke,Chairman and CEO (PEO),14000050.0,4123858.0,489283.0,18613191.0,64623.0,71996.0,120.0,247.0,26.41,32.02,100.0,367.0,69585.2098093,58430.0,67196.5139186,276.996378451,0.897591532863,0.824797001874
AEROJET ROCKETDYNE HOLDINGS,AJRD,Eileen P. Drake,CEO and President,4158000.0,1252282.0,76585.0,5486867.0,74451.0,96567.0,12.0,47.0,17.5,33.43,8.0,59.0,92068.8305085,50930.0,87156.7313433,62.9540244963,0.770977663177,0.523481902483
AETNA INC,AET,Mark T. Bertolini,Chairman and Chief Executive Officer,14114415.0,2874483.0,271908.0,17260806.0,60555.0,75793.0,331.0,187.0,17.88,20.91,97.0,518.0,66055.976834,38790.0,61755.4894309,279.502375563,0.798952409853,0.855093256815
