"Ticker","Company","Sector","Industry"
"A","Agilent Technologies Inc","Health Care","Medical Equipment & Supplies"
"AA","Alcoa Inc","Non-Renewable Resources","Metals & Mining"
"AAL","American Airlines Group Inc","Transportation","Airlines"
"AAP","Advance Auto Parts Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"AAPL","Apple Inc","Technology & Communications","Hardware"
"ABBV","AbbVie Inc","Health Care","Pharmaceuticals"
"ABC","AmerisourceBergen Corp","Health Care","Health Care Distributors"
"ABT","Abbott Laboratories","Health Care","Medical Equipment & Supplies"
"ACN","Accenture PLC","Technology & Communications","Software & IT Services"
"ADBE","Adobe Systems Inc","Technology & Communications","Software & IT Services"
"ADI","Analog Devices Inc","Technology & Communications","Semiconductors"
"ADM","Archer-Daniels-Midland Co","Consumption I","Agricultural Products"
"ADP","Automatic Data Processing Inc","Technology & Communications","Software & IT Services"
"ADS","Alliance Data Systems Corp","Financials","Consumer Finance"
"ADSK","Autodesk Inc","Technology & Communications","Software & IT Services"
"AEE","Ameren Corp","Infrastructure","Electric Utilities"
"AEP","American Electric Power Co Inc","Infrastructure","Electric Utilities"
"AES","AES Corp/VA","Infrastructure","Electric Utilities"
"AET","Aetna Inc","Health Care","Managed Care"
"AFL","Aflac Inc","Financials","Insurance"
"AGN","Allergan plc","Health Care","Pharmaceuticals"
"AIG","American International Group Inc","Financials","Insurance"
"AIV","Apartment Investment & Management Co","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AIZ","Assurant Inc","Financials","Insurance"
"AJG","Arthur J Gallagher & Co","Financials","Insurance"
"AKAM","Akamai Technologies Inc","Technology & Communications","Software & IT Services"
"ALK","Alaska Air Group Inc","Transportation","Airlines"
"ALL","Allstate Corp/The","Financials","Insurance"
"ALLE","Allegion PLC","Resource Transformation","Electrical & Electronic Equipment"
"ALXN","Alexion Pharmaceuticals Inc","Health Care","Biotechnology"
"AMAT","Applied Materials Inc","Technology & Communications","Semiconductors"
"AME","AMETEK Inc","Resource Transformation","Electrical & Electronic Equipment"
"AMG","Affiliated Managers Group Inc","Financials","Asset Management & Custody Activities"
"AMGN","Amgen Inc","Health Care","Biotechnology"
"AMP","Ameriprise Financial Inc","Financials","Asset Management & Custody Activities"
"AMT","American Tower Corp","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AMZN","Amazon.com Inc","Consumption II","E-Commerce"
"AN","AutoNation Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"ANTM","Anthem Inc","Health Care","Managed Care"
"AON","Aon PLC","Financials","Insurance"
"APA","Apache Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"APC","Anadarko Petroleum Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"APD","Air Products & Chemicals Inc","Resource Transformation","Chemicals"
"APH","Amphenol Corp","Resource Transformation","Electrical & Electronic Equipment"
"ATVI","Activision Blizzard Inc","Technology & Communications","Software & IT Services"
"AVB","AvalonBay Communities Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AVGO","Avago Technologies Ltd","Technology & Communications","Semiconductors"
"AVY","Avery Dennison Corp","Resource Transformation","Chemicals"
"AWK","American Water Works Co Inc","Infrastructure","Water Utilities"
"AXP","American Express Co","Financials","Consumer Finance"
"AYI","Acuity Brands Inc","Resource Transformation","Electrical & Electronic Equipment"
"AZO","AutoZone Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BA","Boeing Co/The","Resource Transformation","Aerospace & Defense"
"BAC","Bank of America Corp","Financials","Commercial Banks"
"BAX","Baxter International Inc","Health Care","Medical Equipment & Supplies"
"BBBY","Bed Bath & Beyond Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BBT","BB&T Corp","Financials","Commercial Banks"
"BBY","Best Buy Co Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BCR","CR Bard Inc","Health Care","Medical Equipment & Supplies"
"BDX","Becton Dickinson and Co","Health Care","Medical Equipment & Supplies"
"BEN","Franklin Resources Inc","Financials","Asset Management & Custody Activities"
"BHI","Baker Hughes Inc","Non-Renewable Resources","Oil & Gas - Services"
"BIIB","Biogen Inc","Health Care","Biotechnology"
"BK","Bank of New York Mellon Corp/The","Financials","Asset Management & Custody Activities"
"BLK","BlackRock Inc","Financials","Asset Management & Custody Activities"
"BLL","Ball Corp","Resource Transformation","Containers & Packaging"
"BMY","Bristol-Myers Squibb Co","Health Care","Pharmaceuticals"
"BSX","Boston Scientific Corp","Health Care","Medical Equipment & Supplies"
"BWA","BorgWarner Inc","Transportation","Auto Parts"
"BXP","Boston Properties Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"C","Citigroup Inc","Financials","Commercial Banks"
"CA","CA Inc","Technology & Communications","Software & IT Services"
"CAG","ConAgra Foods Inc","Consumption I","Processed Foods"
"CAH","Cardinal Health Inc","Health Care","Health Care Distributors"
"CAT","Caterpillar Inc","Resource Transformation","Industrial Machinery & Goods"
"CB","Chubb Corp/The","Financials","Insurance"
"CBG","CBRE Group Inc","Infrastructure","Real Estate Services"
"CBS","CBS Corp","Services","Media Production & Distribution"
"CCI","Crown Castle International Corp","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"CCL","Carnival Corp","Services","Cruise Lines"
"CELG","Celgene Corp","Health Care","Biotechnology"
"CERN","Cerner Corp","Technology & Communications","Software & IT Services"
"CF","CF Industries Holdings Inc","Resource Transformation","Chemicals"
